text,label
"Мало памяти для приложений, у меня влезло только Вконтакт и Авито. Серфить в инете и смотреть видео в ютубе на грани возможностей, но в крайнем случае можно.
Но с другой стороны, мне больше и не надо, получился такой бизнес-телефон, то что надо есть, а для остального есть большой комп :)",0
"На ярком солнце экран бликует и практически ничего не видно. Динамик слабоват. 4-х ядерный процессор работает быстро, но 512мб оперативки за ним не успевают. При открытии 2-х приложений в полный экран, запущенное первым самопроизвольно может закрыться. Смещение дней недели в будильнике: Отметил все дни кроме Вск, а выставилось все кроме Сб. Видимо при переводе на русский смещение на день, так как на западе неделю считают с Воскресенья до Субботы, а в России с Понедельника до Воскресенья. Возможно в следующих обновлениях ПО исправят.",0
"Экран(довольно небольшие углы обзора, распознает не больше 2х пальцев)
БАТАРЕЙКА!! (максимум часа 4-5 при обычном пользовании. на столько все плохо)
Микрофон(собеседник жалуется что плохо слышно
При наличии 4х ядер тугодум.",0
"ОЗУ 512 это маловато при длительном использование начинает немного глючить, нужно освобождать ОЗУ.
греется от тяжелых приложений и начинает глючить.
Камера не торт но за 2500р пойдет.
Для такой цены это отлично, ибо есть и намного хуже.",0
"- греется при активном использовании приложений;
- иногда сам перезагружается;
- иногда подтормаживает;
- Angry Birds не пошли (пошли, но с тормозами)",0
Слабая батарея при частом использовании хватало на 5ч. При прослушивании музыки 6 с половиной часов. Камера не чёткая снимки на франтальную камеру и на заднюю качеством не отличаются. Ну впринцепи за 3150 телефон хороший.,0
"1)При подсоединении к ноутбуку начинает то подключаться, то отключаться и так до бесконечности, то есть перекинуть что-либо с ноута и наоборот-нереально.
2)Камера не очень, но за такие деньги требовать хорошую камеру странно
3)Тач-скрин иногда тормозит, иногда очень чувствительный
4)То самое приятное покрытие задней панели очень легко облазит и царапается
5)Батареи хватает на день",0
"Однако, прошло пол года.  Стал глючить. Тупить на ровном месте. Хотя интернет не серфил с ним, чтобы это был вирус или еще что. Просто  стал по жесткому тупить.  Обновился - не помогло. Сбросил систему - не помогло. Стал  летом глючить экран, приложения. Стал греться и  быстро разряжаться, даже  пустой.",0
"С какого перепугу народ вы тут пишете мол отличная камера, не понятно (возможно и брак какой то, но врят ли). Асус маленько опозорил себя и свое имя... А именно, камера тормознутая в плане кадров. То бишь даже при довольно плавных движениях картинка размывается. То есть чтобы сделать снимок хороший нужно идеально не двигаться, а о съемке видео можете и вообще забыть. То есть по сути все эти 13М, Full HD, супер качественные сьемки фактически бесполезны! потому как размытость, вы убрать не сможете. Можете про это забыть. С камерой, Асус опозорилась по полной!",0
"Есть один не большой не достаток,батарея чуть слабоватая.Два три часа в интернете или в играх,то к вечеру уровень почти на нулю.",0
"Игры тянет, но я не понял прикола то, что МК Х вечером поиграл все в кайф, а на следующий день не запускается.. Переустановка не помогает и ждать бесполезно.. Камера шик и блеск, а то что ниже самые настоящий врунишки:з Даже ночью если сфотать того же себя любимого на фронталку, то черты лица будут четко видны.. Еще на счет игр - это телефон не для графодро.. дальше вы поняли.. Телефон без фризов тянет танки на средних, а при высоких немного лагает..",0
"Фото хорошие только при достаточном освещении, при недостаточном появляются дефекты изображения, как будто снимаешь на 3 МП. Почему-то не нашел общий язык с 2гис. Никак. Не работает, вылетает и т.п., переустановки карт, очистка кэша и т.п. не помогли.",0
"Недостаток, или нет, не знаю... перенесли контакты со старого телефона на этот по Bluetooth и проявился интересный глюк. В именах и фамилиях в контактах пропали букв Л. Если заходишь в редактирование контакта, то там буквы все есть и поиск тоже видит их. Набираешь имея по новой на самом телефоне и всё становится нормально.",0
"Камера не соответствует заявленным 13 мегапикселей - максимум 8 МП. Передняя камера отличная. При наведении задней камеры на предмет процессор не сразу "" захватывает"" изображение. Батареи хватило на день. Непонятно почему за ночь телефон сам потерял 10% заряда.",0
"1) Нельзя использовать 2 сим-карты.
2) Разработчики решили с экономить и не ставить второй динамик (его отсутствие вывел с помощью магнита).
3) Камера отличная, но при плохом освещении есть помутнения и шум.
4) Сидя ВКонтакте вывел ещё один незначительный минус - это иногда подвисает из-за смайлов.
5) Нету гироскопа.
6) Расшаталась качелька громкости.",0
"Не выявил пока, хотя: нет автоматической записи разговора при вызовах, на прошлом тел. был. Но это я уже придираюсь.",0
Крышка чехла всё время открывается когда носишь телефон в сумке. И если шарить в сумке рукой все время включается фонарик.,0
"отсутствие в будущем обновлений на новый андроид ( со слов тех поддержки highscree) , других пока ненашла, может потом проявятся",0
"когда сломался чехол в настройках перестала работать функция чехла,ну и где то спустя час работы начинает нагреваться",0
Через полгода начали тормозить (долго подгружаться) СМС и телефонная книга. Но проблема легко устранилась путем предварительного резервирования на карту памяти важных данных и сброса в заводские настройки.,0
"Отслужил 2 года, затем начал зависать. Сброс и перепрошивка не помогли. Похоже на отпай чипа процессора. Жаль, очень хороший аппарат, всегда радовал.
Камера не очень, по сравнению с Asus pl500",0
"По краям экрана сенсор иногда не срабатывает, но не существенно. По началу даже казалось, что качество изображения тоже храмает. Да, по сравнению с iPad 2 заметно ниже, НО на общем фоне это не меняет впечатление о телефоне. Фильмы и фото в высоком качестве - отлично показывает.",0
"При использовании обеих симкарт не очень работает интернет, может просто выключиться сеть и начать перезагружать сим карты.",0
"когда стоит 2 сим-карты теряется сеть на несколько минут
после года использования начал сам включать музыку(( особенно когда это не нужно",0
"Из-за долгого использования тормозит. Батарея не очень долгая. Экран совсем не яркий как на других Samsung'ах. Очень часто сам по себе выключается приходиться доставать батарею иначе никак не включить...но это наверно из-за того, что он часто падал. При аккуратном использовании думаю не будет выключаться!",0
"вроде нет индикатора пропущенных звонков и смс, ну или я че то не настроил. звонили, я не успел и смс приходили, а на смартфоне ничего не мигает. компас хоть и есть, но показывает плохо. ну тут я тоже его толком не настроил, включил и не калибровал. чехол немного великоват, не очень туго сидит. плёнка на стекло мала по размеру-это все знают. наушники средние.",0
Бывает меня не слышна когда мне звонят.Приходиться перезагружать но очень редко.Иногда начинает медленно думать ттоже приходиться перезагружать.но в целом всё отлично.,0
"Шнур зарядки умер через 2 недели, а в общем недостатков не увидел, чехол не нашёл на него родной пришлось с алиэкспресса заказывать.",0
"- батарея не держит заявленного
- при играх и долгих разговорах очень сильно греется
- Wi-Fi ловит только на очень коротком расстоянии (возможно это только у меня такая проблема)",0
"- На ощупь очень приятный, но легко выпадает из руки.
- Плохо держит зарядку - хватает на день, причем неважно пользуешься активно им в течение дня или нет.
- Нет никаких вариантов настройки звуков. Либо все брынчит одинаково - почта. смс, ватсап и приложения, загрузки, либо все без звука.",0
"Их мало
-Заряд батареи не шибко большой,
-1 активная сим карта,
-всего 1 гб озу,
-нет 4g,
- в комплекте СТРЕМНАЯ гарнитура",0
"пару раз очень долго перезагружался минут 15-20, не могу найти сделать скин шот экрана, все уведомление разблокируют телефон, телефон кармане заходит куда только можно после этого...тоже еще не разобрался как это убрать в интернете ничего толком нет.",0
"сильно греется до 40 градусов  после 30 минут 
тупит не смотря на 8 ядер 
часто не распознаёт нажатие(жмёшь много раз но не работает)
динамик на 1 орёт как 10 а на 10 бог помилуй как колонка",0
"Иногда, довольно редко, при выходе из спящего режима тачпад первую секунду не реагирует, как буд-то тоже просыпается. Но это происходит достаточно редко и не ярко проявляется, так что совершенно не мешает.",0
"Выбор между флеш картой и симкой, хотя у многих телефонов сейчас так. Нет обновления андроид, по ходу и не будет.А так за полгода я недостатков особых не нашёл.",0
"Несколько неудачно расположены кнопки громкости, но постепенно привыкаешь. Также неудобно расположена кнопка блокировки, она на верхушке аппарата
Некоторые приложения блокируется системой, например файловый менеджер установил и он не может перемещать или удалять файлы. В тоже время встроенный всё может.
Уже крупный, немного неудобно держать.",0
"c зарядом у него плоховато, каждый вечер к розетке, но если не юзать прям вообще плотно и в режиме звонков держать, то нормально и дольше дня живет",0
мой экземпляр постоянно теряет сд карту. геолокация переодически тупит. и я вместе с нею повороты пропускаю новигатор тормозит. и звук переодически пропадает.,0
"Не удобная клавиша назад,не работает связь с телевизором...(постоянно вылетает и не хочет работать эта функция) звук конечно слабоват,но не кретично для меня.",0
"И всё-таки на мой взгляд не существенные, но они следующие:
1. При непрерывном разговоре в течении 10-15 минут, ухо начинает потеть, т.к. место в районе динамика достаточно сильно нагревается.
2. Качество музыки через наушники на 3+.
3. Подключение домашней сети wi-wf в автоматическом режиме происходит через раз, приходиться включать в ручную.
4. Некоторые контакты через поиск не ищет, и найти нужный представляется возможным только прокруткой всего списка контактов в ручную, причём в фильтр контактов выбран ВСЕ ( с телефона, с двух снимок, с вибера,  gmail).",0
"-В видеоплеере видео не разворачивается на весь экран.
-Funbox и пара левых неудаляемых телефонных номеров.
-Неподдерживает формат vxp.
-Долго печатать смс (но есть шаблоны, что скрашивает этот недостаток).
-Радио работает только с наушниками.",0
"При поиске в тел.книге ищет все на эту букву, требуется вводить не менее трёх
Есть диктофон, но нет автозаписи
Нет единого списка вызовов",0
"Самый большой недостаток - отсутствие Т9. Задалбывает ввод по одной букве.  И маленькая  память. После пары десятков звонков, начинают ""исчезать"" старые набранные и принятые.  Приходится лезть в контакты.",0
"Нет в комплекте зарядного устройства. Очень плохая инструкция по пользованию, пришлось разбирать методом ""научного тыка"".Неудобный слот под карту памяти, не все карты подходят. Попытался поставить свою старую карту, не влезла, отломился слот, он сделан из жести. В конце концов отломал и выкинул эту жестянку, карту просто прижал к клеммам, прижал сверху аккумулятором, прижилось. На телефоне нет возможности прикрепить какой-нибудь ремешок или шлейку. Естественно, камера никакая, видеоплеер никакой.  В редакторе нет Т9.",0
"1. слишком громкий (даже со встроенными мелодиями, не говоря о своих), на ночь страшно оставлять - напугает даже на 1-й громкости. 7 уровней громкости, но при этом 1-й уровень вовсе не тихий! можно было градации сделать посущественнее.
2. нет вибрации, а на вспомогательном телефоне я как раз вибру активно пользовал. 
3. мало режимов - всего три, один из которых ненастраиваемый ""без звука""",0
"Их нет.Те что другие пишут указывают как недостатки(а по поводу этого телефона уже столько отзывов было написано)это скорее особенности восприятия и не совсем умное поведение самих покупателей.Реально здесь 2 недостатка-это слишком громкий звук из динамика(но больше не меньше)-лечится легко.Да жвачку приклеил на динамик если уж совсем по быстрому или изолентой обмотал и всё.Наш человек всегда выход найдёт.Можно ещё изначально на звонки смс будильники ставить тихую мелодию и всё.И звук-шкала его плоская в этом телефоне,на громкости фальшивит немного но это тоже больше особенности восприятия.Просто привыкнуть к этому телефону надо.",0
